Date,Name,Withdraw,Deposit,Balance
1/12/2023,OPEN ACCOUNT        ,0.0,,0.0
1/24/2023,Transfer to savings,,1.0,1.0
1/31/2023,Transfer to savings,,1.0,2.0
2/3/2023,Transfer to savings,,0.5,2.5
2/7/2023,Transfer to savings,,0.5,3.0
2/14/2023,Transfer to savings,,1.5,4.5
2/21/2023,Transfer to savings,,1.0,5.5
2/22/2023,Transfer to savings,,1.5,7.0
2/28/2023,Transfer to savings,,1.5,8.5
3/1/2023,Transfer to savings,,0.5,9.0
3/2/2023,Transfer to savings,,0.5,9.5
3/6/2023,Transfer to savings,,0.5,10.0
3/7/2023,Transfer to savings,,1.0,11.0
3/8/2023,Transfer to savings,,0.5,11.5
3/14/2023,Transfer to savings,,1.0,12.5
3/16/2023,Transfer to savings,,0.5,13.0
3/21/2023,Transfer to savings,,0.5,13.5
3/27/2023,Transfer to savings,,0.5,14.0
3/28/2023,Transfer to savings,,0.5,14.5
4/4/2023,Transfer to savings,,1.5,16.0
4/6/2023,Transfer to savings,,0.5,16.5
4/11/2023,Transfer to savings,,1.0,17.5
4/14/2023,Transfer to savings,,0.5,18.0
4/17/2023,Transfer to savings,,2.0,20.0
4/18/2023,Transfer to savings,,1.5,21.5
4/18/2023,WU390 TFR-TO 6663314,10.0,,11.5
4/19/2023,Transfer to savings,,1.0,12.5
4/20/2023,Transfer to savings,,0.5,13.0
4/21/2023,Transfer to savings,,0.5,13.5
4/24/2023,Transfer to savings,,0.5,14.0
4/25/2023,Transfer to savings,,2.5,16.5
4/25/2023,SEND E-TFR ***2vq   ,10.0,,6.5
4/25/2023,SEND E-TFR FEE      ,0.5,,6.0
4/28/2023,Transfer to savings,,0.5,6.5
5/2/2023,Transfer to savings,,1.0,7.5
5/3/2023,Transfer to savings,,0.5,8.0
5/4/2023,Transfer to savings,,0.5,8.5
5/5/2023,Transfer to savings,,1.5,10.0
5/8/2023,Transfer to savings,,0.5,10.5
5/9/2023,Transfer to savings,,1.5,12.0
5/23/2023,WQ355 TFR-TO 6663314,12.0,,0.0
5/31/2023,Transfer to savings,,1.0,1.0
6/2/2023,Transfer to savings,,1.5,2.5
6/5/2023,Transfer to savings,,1.0,3.5
6/8/2023,Transfer to savings,,0.5,4.0
6/9/2023,Transfer to savings,,0.5,4.5
7/5/2023,Transfer to savings,,0.5,5.0
8/15/2023,Transfer to savings,,2.5,7.5
9/19/2023,Transfer to savings,,0.5,8.0
9/22/2023,Transfer to savings,,0.5,8.5
9/25/2023,Transfer to savings,,1.0,9.5
9/26/2023,Transfer to savings,,0.5,10.0
9/29/2023,Transfer to savings,,0.5,10.5
10/4/2023,Transfer to savings,,0.5,11.0
10/6/2023,Transfer to savings,,0.5,11.5
10/11/2023,Transfer to savings,,2.0,13.5
10/12/2023,Transfer to savings,,0.5,14.0
10/13/2023,Transfer to savings,,0.5,14.5
10/16/2023,Transfer to savings,,0.5,15.0
10/17/2023,Transfer to savings,,1.0,16.0
10/24/2023,Transfer to savings,,1.0,17.0
10/27/2023,Transfer to savings,,0.5,17.5
11/2/2023,Transfer to savings,,0.5,18.0
11/7/2023,Transfer to savings,,1.0,19.0
11/28/2023,Transfer to savings,,0.5,19.5
12/4/2023,Transfer to savings,,0.5,20.0
12/6/2023,Transfer to savings,,0.5,20.5
12/21/2023,Transfer to savings,,0.5,21.0
12/28/2023,Transfer to savings,,0.5,21.5
1/3/2024,Transfer to savings,,0.5,22.0
1/8/2024,Transfer to savings,,1.0,23.0
1/9/2024,Transfer to savings,,1.0,24.0
1/25/2024,Transfer to savings,,0.5,24.5
